field_id,lat,lng,sequence_order
1,17.39729412,78.49014759,1
1,17.39728644,78.49020660,2
1,17.39727365,78.49026024,3
1,17.39726086,78.49031657,4
1,17.39724295,78.49038363,5
1,17.39721993,78.49047750,6
1,17.39720458,78.49055797,7
1,17.39712528,78.49052846,8
1,17.39704598,78.49049628,9
1,17.39697691,78.49046946,10
1,17.39690272,78.49044532,11
1,17.39682342,78.49041313,12
1,17.39675179,78.49038899,13
1,17.39666993,78.49035949,14
1,17.39667249,78.49025220,15
1,17.39668272,78.49015564,16
1,17.39669807,78.49007249,17
1,17.39670574,78.49000007,18
1,17.39681574,78.49002689,19
1,17.39694365,78.49005908,20
1,17.39708947,78.49009126,21
1,17.39723528,78.49013418,22